Type,Variable Name,Question,Scoring
Influencer,Sleep Pattern Consistency,"Do you get up at the same time each morning, even if you do not have to work?",0.3333333333
Influencer,Sleep Pattern Consistency,"Do you go to bed at the same time each night, even if you do not have to work the next day?",0.3333333333
Influencer,Sleep Pattern Consistency,Do you get up immediately after your first alarm? (as opposed to snoozing).,0.3333333333
Influencer,Sleep Quality,I fall asleep easily.,0.25
Influencer,Sleep Quality,I tend to wake up during the night and can't fall back to sleep again.,0.25
Influencer,Sleep Quality,I find it challenging to get up in the mornings.,0.25
Influencer,Sleep Quality,I feel well-rested and refreshed in the mornings.,0.25
Influencer,Workout Balance,"Do you believe your exercise routine incorporates a good balance of the typical types of exercise? (e.g., cardio, strength).",1
Influencer,Workout Frequency and length,How many times a week do you exercise?,0.5
Influencer,Workout Frequency and length,"On average, how long are your exercise sessions?",0.5
Outcome,Intent to Stay,I have been thinking about/planning on leaving my employer.,1
Outcome,Job Engagement,I get excited about doing my job.,0.25
Outcome,Job Engagement,My working day goes by fast.,0.25
Outcome,Job Engagement,"I get immersed while doing my job, forgetting about time and other worries.",0.25
Outcome,Job Engagement,I am proud of the work I do.,0.25
Outcome,Job Satisfaction,I am satisfied with my job.,1
Outcome,Wellbeing/Performance Potential,I am enthusiastic about my work.,0.078634
Outcome,Wellbeing/Performance Potential,I feel a sense of dread/disdain when I think about my job.,0.087726
Outcome,Wellbeing/Performance Potential,I feel powerless over my own life.,0.079002
Outcome,Wellbeing/Performance Potential,I feel uncertain and anxious about what the future holds.,0.073965
Outcome,Wellbeing/Performance Potential,I have a negative outlook on the future.,0.078019
Outcome,Wellbeing/Performance Potential,I struggle to relax when I have time to do so.,0.04632
Outcome,Wellbeing/Performance Potential,I tend to worry about the future more than before.,0.064136
Outcome,Wellbeing/Performance Potential,My life has meaning and a purpose.,0.072613
Outcome,Wellbeing/Performance Potential,"When doing my work, I feel cheerful and happy.",0.091043
Outcome,Wellbeing/Performance Potential,"When doing my work, I feel mentally fatigued or exhausted.",0.08404
Outcome,Wellbeing/Performance Potential,"When doing my work, I find remaining energized and motivated difficult.",0.076176
Outcome,Wellbeing/Performance Potential,"When doing my work, I get irritated/agitated more than usual.",0.083303
Outcome,Wellbeing/Performance Potential,"When I wake up, I feel ready to take on the day.",0.085023
Workplace Culture,Employee Trust,My co-workers trust in me and each other.,See gdoc
Workplace Culture,Empowered,I am empowered to investigate problems and explore new ideas at work.,See gdoc
Workplace Culture,Fairness,"In my area, employees are treated fairly.",See gdoc
Workplace Culture,Leader Respect,Our leaders treat staff with respect.,See gdoc
Workplace Culture,Staff Respect,Staff treat each other with respect.,See gdoc
