respondentId,reportedAt,durationSeconds,score,stressor1,stressor2,stressor3,buffer1,buffer2,buffer3,I feel I belong in my organization.,"Do you get up at the same time each morning, even if you do not have to work?","Do you go to bed at the same time each night, even if you do not have to work the next day?",Do you get up immediately after your first alarm? (as opposed to snoozing).,"I have trustworthy, reliable, and loving relationships with my family.","I have trustworthy, reliable, and loving relationships with my friends.","I have trustworthy, reliable, and caring relationships with my co-workers.",I am satisfied with the amount of freedom and independence I have when doing my job.,I am satisfied with the amount of discretion I have when doing my job.,I fall asleep easily.,I tend to wake up during the night and can't fall back to sleep again.,I find it challenging to get up in the mornings.,I feel well-rested and refreshed in the mornings.,"Considering my qualifications and experience, I am compensated fairly.",I feel fairly compensated considering what others in my organization and in the wider job market are being paid.,I can confide in my co-workers when I need to.,I consider some of my co-workers as friends.,I have a healthy balance between my work and personal life.,I have time/make time for leisure activities each day.,I have too much work to do and struggle to keep up.,My values are aligned with that of my organization.,I have control over my work schedule.,My schedule is entirely dependent on what the organization's needs are.,"Based on my education and experience, I am satisfied with the opportunities for advancement that my organization offers.",My organization prefers to hire from outside rather than promote from within.,Do you have a daily or regular routine of any form of a mindfulness or meditation practice?,I believe my current employment is secure into the foreseeable future.,I have a desire to help those less fortunate and take tangible action to do so.,I am able to sacrifice personal comforts for the benefit of others less fortunate.,I feel the work I do makes a difference in the world.,I feel the work I do makes a difference in the lives of others.,I am actively seeking out situations where I can grow my knowledge.,I am curious and stimulated by certain fields/topics outside of my profession.,I can accurately identify and name the emotions of others.,I am able to imagine what others are feeling.,I can feel what others feel by identifying what they are going through.,I can recognize and understand why others are feeling the way they are.,I struggle to recognize and understand the emotions someone else is experiencing fully.,I am actively making time to study or learn more about my field of work.,I struggle to find time to keep up to date with the latest developments in my field of work.,I have control to change and adapt how I do my job as I see fit.,I am satisfied with the level of freedom and discretion to change and adapt my job to better suit my personal needs.,I am thankful for the things in my life that I have.,I often think or dream of things I do not have.,"To the best of my knowledge, my diet is balanced (e.g., a good mix of multiple food groups).",How many times a day do you eat?,"Do you eat at equally dispersed intervals? e.g., 4 hours apart?",How many times a week do you exercise?,"On average, how long are your exercise sessions?","Do you believe your exercise routine incorporates a good balance of the typical types of exercise? (e.g., cardio, strength).",My manager/supervisor considers everyone's input on the team before making decisions.,My manager/supervisor gives me constructive feedback if I do not perform well.,My manager/supervisor gives me positive feedback if I perform well.,I have a negative outlook on the future.,"When doing my work, I get irritated/agitated more than usual.","When doing my work, I find remaining energized and motivated difficult.",I struggle to relax when I have time to do so.,"When doing my work, I feel mentally fatigued or exhausted.",I tend to worry about the future more than before.,"When I wake up, I feel ready to take on the day.",I feel uncertain and anxious about what the future holds.,I feel powerless over my own life.,I am enthusiastic about my work.,My life has meaning and a purpose.,"When doing my work, I feel cheerful and happy.",I feel a sense of dread/disdain when I think about my job.,I am satisfied with my job.,I have been thinking about/planning on leaving my employer.,I get excited about doing my job.,My working day goes by fast.,"I get immersed while doing my job, forgetting about time and other worries.",I am proud of the work I do.,Our leaders treat staff with respect.,Staff treat each other with respect.,My co-workers trust in me and each other.,"In my area, employees are treated fairly.",I am empowered to investigate problems and explore new ideas at work.
respondent_a7o56f09iu3u,2024-04-15T20:51:53.288Z,575.137,69,Mindfulness Practice,Workout Balance,Charity,Cognitive Empathy,Healthy Personal Relationships,Emotional Empathy,75,100,100,25,100,75,75,100,100,75,100,50,75,50,50,75,100,100,75,75,75,25,75,0,75,0,75,75,50,50,50,75,75,100,100,100,100,75,75,75,75,75,100,50,75,100,66,50,100,33,75,25,75,75,75,50,75,75,50,75,75,75,50,100,75,50,40,40,25,50,25,75,50,50,75,75,75
respondent_bu497st09nxn,2024-04-16T22:56:36.542Z,373.088,64,Mindfulness Practice,Workout Balance,Sleep Quality,Emotional Empathy,Sleep Pattern Consistency,Knowledge Desire and Curiosity,75,100,75,100,75,75,75,75,75,75,25,75,50,50,50,75,75,50,25,50,75,50,25,50,50,33,25,75,100,50,75,100,100,75,100,100,100,75,75,75,25,50,100,50,75,100,66,100,80,33,50,75,75,75,75,75,25,75,25,100,50,50,75,50,75,50,60,40,75,75,25,75,75,75,75,75,50
respondent_6k5tpf3ual5k,2024-04-15T14:28:05.098Z,376.625,65,Sleep Pattern Consistency,Charity,Knowledge Desire and Curiosity,Gratitude,Healthy Personal Relationships,Workout Frequency and length,100,75,75,25,100,100,75,75,75,100,50,50,50,100,100,75,75,50,50,25,75,50,50,100,50,66,100,75,50,50,50,75,50,75,75,75,75,75,75,50,75,75,100,100,100,100,66,100,100,66,75,75,75,75,75,50,25,50,25,50,75,75,75,100,75,75,80,80,50,75,75,75,75,75,75,75,75
respondent_4amq3t9lkqwc,2024-04-16T16:00:05.162Z,393.017,96,Cognitive Empathy,Emotional Empathy,Knowledge Desire and Curiosity,Dietary Quality,Workout Balance,Workout Frequency and length,75,75,75,100,100,75,75,100,75,75,100,50,75,75,75,75,75,75,100,100,75,75,25,75,50,66,75,75,75,100,100,50,50,50,50,50,50,50,75,100,100,75,100,50,100,100,66,100,100,100,50,75,75,100,100,100,100,100,100,75,100,100,75,100,100,100,100,100,100,75,50,100,100,100,100,100,75
respondent_wgqdgekd026x,2024-04-18T14:14:59.352Z,1045.802,94,Mindfulness Practice,Workout Balance,Workout Frequency and length,Gratitude,Sleep Quality,Healthy Personal Relationships,100,0,0,75,100,100,100,100,100,100,100,100,75,75,75,100,100,100,75,75,50,100,25,75,50,0,100,75,50,50,75,50,25,50,50,50,50,50,75,100,75,75,100,75,50,100,33,0,0,0,75,75,75,100,100,100,100,75,100,100,100,100,75,100,75,100,80,100,75,75,75,100,100,75,100,100,50
respondent_xipi1zb2xekm,2024-04-15T19:22:26.776Z,700.219,77,Workout Frequency and length,Dietary Quality,Charity,Emotional Empathy,Mindfulness Practice,Regular Meal Energy,75,75,100,100,75,75,50,75,75,100,100,100,75,25,0,75,25,75,75,50,75,25,25,25,50,100,50,75,50,25,25,75,100,100,100,100,100,100,75,75,25,25,75,50,50,100,100,25,40,66,75,75,75,100,75,75,75,75,0,75,25,100,75,100,100,100,80,40,75,75,75,75,50,50,50,75,75
respondent_3s7qe4ey15ge,2024-04-18T14:03:16.881Z,445.368,94,Sleep Pattern Consistency,Mindfulness Practice,Workout Balance,Workout Frequency and length,Charity,Healthy Personal Relationships,100,100,75,0,100,100,75,100,100,75,50,100,75,75,75,75,75,100,75,75,100,75,25,75,50,66,75,100,100,75,75,75,100,75,50,75,75,75,75,75,75,75,100,75,75,50,100,100,80,66,100,75,75,100,100,75,100,100,100,75,75,100,100,100,100,100,100,100,75,100,75,100,100,100,100,100,75
respondent_ypee46mwi817,2024-04-17T12:50:30.014Z,549.253,75,Mindfulness Practice,Charity,Sleep Quality,Knowledge Desire and Curiosity,Workout Frequency and length,Regular Meal Energy,75,50,50,75,75,75,75,75,75,25,50,75,75,50,50,50,50,75,75,75,75,25,50,25,50,33,75,50,50,50,50,75,75,75,75,75,75,75,75,50,75,75,75,75,75,100,66,100,60,66,50,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,80,80,75,75,75,75,75,75,75,50,75
respondent_z7ykv2mxvsq0,2024-04-19T21:43:09.821Z,409.749,54,Sleep Quality,Healthy Personal Relationships,Mindfulness Practice,Dietary Quality,Gratitude,Knowledge Desire and Curiosity,75,25,50,25,0,50,50,75,50,0,50,0,25,50,25,50,75,25,25,25,50,0,0,50,50,33,75,75,75,50,75,100,100,50,75,75,50,25,75,0,50,25,100,75,75,50,66,50,60,33,50,75,75,50,75,25,25,25,75,0,50,75,75,75,75,75,60,60,50,25,25,100,75,75,75,100,100
respondent_vwqr75sbaafr,2024-04-16T16:45:14.439Z,631.102,59,Sleep Quality,Workout Balance,Sleep Pattern Consistency,Emotional Empathy,Healthy Personal Relationships,Knowledge Desire and Curiosity,75,25,25,100,75,75,50,75,50,25,0,50,50,50,50,75,75,75,50,75,50,75,50,75,50,66,75,75,75,50,75,100,100,75,75,75,75,50,50,50,75,50,75,50,75,100,33,25,80,33,75,75,75,50,75,50,25,50,50,50,50,75,75,75,50,75,80,80,50,50,75,75,50,50,75,75,50
respondent_uad51nhbwkjs,2024-04-16T15:04:03.133Z,374.362,85,Mindfulness Practice,Workout Balance,Workout Frequency and length,Dietary Quality,Gratitude,Charity,0,75,0,25,0,100,100,100,100,25,25,100,25,75,75,75,75,75,75,75,100,100,25,75,50,0,50,100,75,100,100,50,50,75,50,50,50,100,75,100,75,50,100,50,75,100,33,0,0,0,100,100,100,100,100,100,25,100,50,75,50,100,100,100,75,100,80,100,75,75,25,100,100,100,100,100,75
respondent_bdj9cbti4t38,2024-04-15T19:38:44.906Z,830.947,63,Mindfulness Practice,Workout Balance,Charity,Gratitude,Knowledge Desire and Curiosity,Healthy Personal Relationships,50,75,75,50,100,100,25,75,50,100,100,75,50,0,25,75,50,75,75,75,50,75,25,50,50,33,75,50,75,50,75,100,75,75,75,50,100,75,50,50,25,50,100,75,75,100,33,75,60,33,75,75,75,50,50,75,75,50,75,50,25,75,75,100,75,50,60,40,50,25,25,75,75,50,25,0,75
respondent_db6ivpnc9h0p,2024-04-15T14:19:40.129Z,799.624,86,Mindfulness Practice,Workout Balance,Workout Frequency and length,Emotional Empathy,Cognitive Empathy,Healthy Personal Relationships,100,0,50,100,100,100,100,75,75,50,75,75,75,75,75,100,100,100,100,100,75,100,75,50,75,0,100,50,75,50,50,25,75,100,100,75,100,100,50,75,100,100,100,75,75,100,0,0,0,0,75,75,75,100,75,75,100,75,100,75,100,100,75,75,75,100,100,100,75,75,75,100,75,75,75,100,75
respondent_3kfgi83ehpyj,2024-04-15T14:28:00.577Z,708.676,81,Sleep Pattern Consistency,Mindfulness Practice,Workout Balance,Knowledge Desire and Curiosity,Workout Frequency and length,Dietary Quality,75,25,25,25,100,75,75,75,50,100,100,50,75,50,75,75,75,50,75,75,75,50,75,50,100,33,75,75,75,50,50,100,75,75,75,100,100,75,25,50,100,75,100,75,100,100,66,100,80,66,50,100,100,75,75,75,75,75,75,75,75,100,100,100,75,75,80,100,50,75,75,100,100,100,75,100,100
respondent_5sstn5riz3ox,2024-04-22T16:05:54.522Z,334.896,82,Cognitive Empathy,Emotional Empathy,Sleep Pattern Consistency,Regular Meal Energy,Workout Balance,Workout Frequency and length,100,100,50,100,100,100,100,75,75,75,100,100,100,100,100,75,75,100,75,75,100,75,0,75,75,100,100,100,75,100,100,100,100,75,75,75,75,75,75,25,75,75,100,75,100,100,100,100,100,100,75,75,75,75,75,75,100,75,75,100,50,100,75,100,75,100,100,80,75,50,50,100,100,100,100,100,75
respondent_l4pifzexdyx0,2024-04-15T17:11:57.867Z,602.386,53,Mindfulness Practice,Workout Balance,Workout Frequency and length,Dietary Quality,Emotional Empathy,Healthy Personal Relationships,50,25,25,100,100,100,25,75,50,25,25,75,50,0,25,50,75,75,50,75,25,75,25,50,50,0,25,75,50,50,50,50,75,75,75,75,75,75,50,75,75,50,75,25,75,100,33,0,0,0,50,75,75,75,25,75,50,50,0,50,25,75,50,75,50,75,60,40,50,50,50,75,25,25,50,75,75
respondent_pugg95pluzc7,2024-04-22T20:21:41.231Z,331.802,8,Dietary Quality,Healthy Personal Relationships,Mindfulness Practice,Charity,Emotional Empathy,Knowledge Desire and Curiosity,0,100,50,0,0,0,0,0,25,100,0,0,0,0,0,0,50,25,0,50,0,25,0,0,25,0,0,75,75,50,50,100,75,100,75,50,75,50,75,25,0,0,25,0,0,50,0,50,40,33,50,0,0,0,25,0,0,0,0,0,0,0,50,0,25,0,0,20,0,25,25,75,75,50,50,100,50
respondent_pg37dlkukk3s,2024-04-16T13:36:03.981Z,391.946,42,Mindfulness Practice,Cognitive Empathy,Gratitude,Emotional Empathy,Knowledge Desire and Curiosity,Workout Frequency and length,50,25,25,100,50,50,75,75,75,25,50,75,50,50,50,75,75,50,75,50,50,25,75,50,25,0,50,75,75,50,50,75,75,75,75,75,50,25,25,50,25,25,75,25,75,100,33,75,100,66,50,50,50,25,75,25,75,25,25,50,25,50,50,50,50,25,60,40,50,25,25,75,50,75,75,75,50
respondent_5std11tlaoi2,2024-04-15T17:12:46.514Z,552.949,37,Workout Balance,Workout Frequency and length,Dietary Quality,Sleep Pattern Consistency,Healthy Personal Relationships,Knowledge Desire and Curiosity,50,75,25,100,75,75,25,75,75,75,0,50,25,25,25,25,75,50,50,50,25,75,25,25,50,66,25,75,50,50,50,75,75,50,50,50,50,50,75,25,50,50,50,25,25,100,33,0,0,0,25,25,25,25,25,50,25,25,25,25,25,50,50,75,50,25,40,20,50,75,25,50,25,50,50,50,75
respondent_mepcam363qra,2024-04-16T15:12:38.551Z,415.106,77,Healthy Personal Relationships,Gratitude,Cognitive Empathy,Knowledge Desire and Curiosity,Emotional Empathy,Regular Meal Energy,75,50,25,75,50,0,100,75,75,25,75,75,25,25,25,25,75,75,100,75,75,75,75,25,25,66,75,100,25,25,75,75,100,100,100,100,100,0,100,25,75,75,75,0,50,100,100,75,60,66,25,25,25,0,100,75,25,75,75,75,100,100,100,50,100,100,80,40,100,75,75,100,100,100,100,100,75
respondent_mo4toz8j58k2,2024-04-17T23:32:14.824Z,419.407,69,Mindfulness Practice,Workout Frequency and length,Workout Balance,Regular Meal Energy,Gratitude,Healthy Personal Relationships,75,75,25,25,100,75,75,75,75,75,75,25,50,75,50,50,75,75,75,50,50,50,50,75,75,0,75,50,75,50,50,75,75,75,75,50,50,75,50,50,50,75,100,75,75,100,66,0,0,33,50,75,75,75,75,75,75,75,50,50,50,75,75,75,75,75,80,80,25,75,50,75,75,75,50,75,50
respondent_l7y6jvmhbm8f,2024-04-15T14:26:25.783Z,403.512,55,Sleep Pattern Consistency,Mindfulness Practice,Workout Balance,Dietary Quality,Emotional Empathy,Healthy Personal Relationships,75,25,25,25,100,100,100,75,75,50,50,75,50,75,75,75,100,75,50,50,50,75,0,50,50,33,50,75,75,50,75,50,75,75,75,75,75,50,50,50,50,50,100,25,75,100,0,50,60,33,75,100,100,50,50,50,50,50,25,75,25,50,50,100,75,50,60,60,75,75,25,100,100,100,100,75,100
respondent_26cpcsh7mt9d,2024-04-22T20:28:01.654Z,543.384,53,Mindfulness Practice,Workout Balance,Workout Frequency and length,Knowledge Desire and Curiosity,Regular Meal Energy,Dietary Quality,50,25,25,25,75,50,50,75,75,25,25,50,25,75,50,50,75,50,25,50,50,75,50,50,75,0,50,50,50,75,75,50,75,50,50,25,50,25,50,50,75,50,75,25,75,100,33,0,0,0,75,50,75,75,50,50,50,50,25,50,25,75,50,50,50,75,60,60,50,50,50,50,50,75,50,75,25
respondent_9gvrthp3flci,2024-04-22T16:15:16.114Z,532.791,76,Mindfulness Practice,Regular Meal Energy,Workout Balance,Healthy Personal Relationships,Workout Frequency and length,Knowledge Desire and Curiosity,75,75,75,75,100,75,25,75,75,75,75,100,75,50,50,25,75,75,75,25,75,50,25,25,50,0,75,75,75,75,75,100,100,75,75,75,75,75,100,75,100,50,100,75,75,50,0,75,100,66,50,50,50,100,75,75,75,75,75,75,75,75,75,100,50,75,80,20,50,75,75,75,25,25,50,50,75
respondent_j33cjfccavwr,2024-04-15T16:32:05.027Z,1160.03,43,Emotional Empathy,Cognitive Empathy,Mindfulness Practice,Healthy Personal Relationships,Workout Balance,Workout Frequency and length,25,100,75,25,100,100,0,0,25,100,100,25,75,0,25,50,75,25,50,0,50,75,0,25,25,66,75,75,100,25,75,75,75,50,25,25,75,25,75,0,100,25,100,50,100,100,66,100,100,100,75,25,25,100,25,25,25,25,75,25,50,75,25,75,25,25,20,80,25,50,25,25,50,50,50,75,25
respondent_nbqxknr4ez2r,2024-04-15T14:18:07.726Z,440.993,75,Mindfulness Practice,Workout Balance,Sleep Quality,Gratitude,Sleep Pattern Consistency,Healthy Personal Relationships,75,100,75,100,100,100,100,75,75,75,25,25,75,50,50,75,75,50,25,25,75,50,50,50,75,0,75,75,75,75,75,75,75,75,75,75,75,75,75,25,50,75,100,75,75,100,66,100,60,33,75,75,75,100,50,75,75,75,75,75,75,75,75,75,75,75,100,80,75,100,25,100,100,50,100,100,100
respondent_baq6zgen82d4,2024-04-15T14:06:18.470Z,368.486,50,Charity,Mindfulness Practice,Sleep Pattern Consistency,Healthy Personal Relationships,Knowledge Desire and Curiosity,Regular Meal Energy,50,75,25,0,75,75,50,50,50,0,75,75,25,50,50,25,50,75,25,50,75,50,75,50,25,33,25,25,25,25,25,75,75,25,75,75,75,75,50,50,50,50,75,25,75,100,66,50,60,33,100,100,100,75,75,25,0,25,50,25,0,75,75,75,50,75,60,100,50,25,50,50,75,25,50,75,75
respondent_kwgxxqk7pqii,2024-04-15T23:39:28.100Z,700.008,56,Sleep Pattern Consistency,Mindfulness Practice,Workout Balance,Cognitive Empathy,Emotional Empathy,Healthy Personal Relationships,50,0,25,25,100,100,75,100,100,25,75,50,75,50,50,75,75,75,75,50,50,75,25,50,25,33,75,50,50,50,50,50,75,100,100,100,100,75,75,75,75,75,100,25,75,100,33,50,80,33,100,75,100,75,50,50,50,50,25,50,25,75,75,75,50,75,80,80,50,75,75,75,50,50,75,50,75
respondent_bfrbk3o19spv,2024-04-22T17:49:16.605Z,992.28,73,Workout Balance,Sleep Pattern Consistency,Dietary Quality,Knowledge Desire and Curiosity,Gratitude,Healthy Personal Relationships,100,75,25,25,100,100,100,100,75,50,75,75,75,75,75,75,75,75,50,75,75,75,25,75,50,66,100,75,75,75,75,100,50,50,50,50,50,75,75,75,75,50,100,75,50,100,33,50,60,33,75,75,75,75,75,75,75,75,75,75,75,75,25,100,75,75,80,100,75,75,50,75,75,75,75,75,75
respondent_qsrayou4wk1m,2024-04-18T13:56:36.877Z,574.794,43,Workout Balance,Workout Frequency and length,Dietary Quality,Sleep Quality,Cognitive Empathy,Emotional Empathy,100,75,75,100,75,75,50,75,75,100,100,100,50,0,0,75,75,25,0,50,50,25,75,0,50,66,25,75,25,75,100,75,75,100,100,100,100,100,50,0,25,50,75,0,25,50,0,0,0,0,25,100,75,25,25,75,0,75,0,75,0,0,100,25,75,50,60,20,75,50,75,100,25,25,75,75,25
respondent_0ku805wmgy18,2024-04-17T21:23:18.489Z,505.038,35,Mindfulness Practice,Workout Balance,Workout Frequency and length,Charity,Regular Meal Energy,Knowledge Desire and Curiosity,50,0,0,25,50,50,50,25,50,25,75,25,25,25,25,50,50,50,75,75,50,75,75,0,25,0,25,50,75,50,50,75,75,25,25,75,75,25,50,75,25,25,50,25,25,100,33,0,0,0,50,25,25,50,50,25,25,25,25,25,25,25,25,50,50,50,20,0,25,25,50,50,50,50,50,50,0
respondent_kn33erg87k29,2024-04-22T18:51:10.798Z,818.501,39,Sleep Quality,Mindfulness Practice,Gratitude,Knowledge Desire and Curiosity,Workout Balance,Workout Frequency and length,75,25,25,100,100,75,75,75,75,0,25,0,0,50,50,75,100,50,75,50,50,25,0,50,25,33,25,75,75,50,50,100,100,100,75,75,100,100,75,75,25,25,75,25,75,100,66,100,100,100,100,100,100,25,50,50,50,50,0,25,0,50,50,50,50,50,60,80,50,50,50,75,75,50,75,50,100
respondent_x6gwzm0c5l1f,2024-04-18T14:05:55.282Z,405.18,48,Mindfulness Practice,Workout Balance,Workout Frequency and length,Healthy Personal Relationships,Knowledge Desire and Curiosity,Emotional Empathy,75,25,75,25,100,75,75,75,75,75,75,25,25,25,25,75,100,75,50,75,75,75,75,75,75,0,100,75,50,75,75,100,75,100,100,75,75,100,50,50,50,75,75,0,25,100,33,0,20,0,75,75,100,50,75,25,25,25,0,25,25,75,75,75,50,75,80,80,75,75,75,100,75,75,75,75,100
